YEARMO,Year,Month,DAHR, DAY01,DAHR, DAY02,DAHR, DAY03,DAHR, DAY04,DAHR, DAY05,DAHR, DAY06,DAHR, DAY07,DAHR, DAY08,DAHR, DAY09,DAHR, DAY10,DAHR, DAY11,DAHR, DAY12,DAHR, DAY13,DAHR, DAY14,DAHR, DAY15,DAHR, DAY16,DAHR, DAY17,DAHR, DAY18,DAHR, DAY19,DAHR, DAY20,DAHR, DAY21,DAHR, DAY22,DAHR, DAY23,DAHR, DAY24,DAHR, DAY25,DAHR, DAY26,DAHR, DAY27,DAHR, DAY28,DAHR, DAY29,DAHR, DAY30,DAHR, DAY31
195909,1959,9,118,23,218,37,399,-99999,418,7,518,27,618,59,718,12,818,35,918,15,1018,17,1118,31,1218,26,1318,25,1418,15,1518,20,1618,33,1718,36,1818,33,1918,31,2018,39,2118,52,2218,17,2318,48,2418,15,2599,-99999,2618,13,2718,26,2818,26,2918,41,3018,36,3199,-99999
195910,1959,10,199,-99999,299,-99999,399,-99999,499,-99999,518,2,618,11,718,9,818,26,918,22,1018,16,1118,9,1218,25,1318,8,1418,7,1518,8,1618,19,1718,20,1818,21,1918,13,2018,15,2118,18,2218,22,2318,11,2418,41,2518,23,2618,99999,2718,74,2818,2,2918,19,3099,-99999,3199,-99999
196004,1960,4,118,54,218,60,318,4,418,25,518,31,618,22,718,50,818,39,918,24,1018,21,1118,28,1218,31,1318,13,1418,8,1518,29,1618,34,1718,43,1818,30,1918,21,2018,47,2118,44,2218,37,2318,31,2418,27,2518,20,2618,36,2718,34,2818,15,2918,22,3018,54,3199,-99999
196005,1960,5,118,13,218,22,318,39,418,25,599,-99999,618,29,718,18,818,45,918,13,1018,28,1118,49,1218,38,1318,23,1499,-99999,1518,23,1618,13,1799,-99999,1899,-99999,1999,-99999,2099,-99999,2118,28,2218,17,2318,22,2418,37,2518,21,2618,44,2718,25,2818,48,2918,99999,3018,26,3118,3
196006,1960,6,118,33,218,19,318,37,418,49,518,20,618,21,718,26,818,3,918,18,1018,14,1118,39,1218,42,1318,99999,1418,84,1518,28,1618,99999,1718,86,1818,47,1918,53,2018,50,2118,43,2218,57,2318,67,2418,54,2518,38,2618,27,2718,32,2818,45,2918,64,3018,40,3199,-99999
196007,1960,7,118,67,218,45,318,76,418,99999,599,-99999,618,78,718,9,818,3,918,17,1018,46,1118,33,1218,37,1318,55,1418,13,1518,25,1618,5,1718,36,1818,33,1918,27,2018,13,2118,10,2218,99999,2318,73,2418,22,2518,34,2618,19,2718,35,2818,35,2918,30,3018,55,3118,35
196008,1960,8,118,27,218,43,318,44,418,45,518,44,618,36,718,32,818,53,918,36,1018,8,1118,27,1218,31,1318,68,1418,37,1518,99999,1699,-99999,1799,-99999,1818,65,1918,16,2018,29,2118,43,2218,19,2318,25,2418,38,2518,20,2618,37,2718,20,2818,29,2918,34,3018,16,3118,28
196009,1960,9,118,26,218,30,318,22,418,30,518,25,618,30,718,34,818,32,918,23,1018,32,1118,31,1218,24,1318,32,1418,28,1518,49,1699,-99999,1799,-99999,1818,29,1918,28,2018,26,2118,20,2218,12,2318,32,2418,28,2518,21,2618,25,2718,99999,2818,22,2918,15,3018,29,3199,-99999
196010,1960,10,118,24,299,-99999,318,27,499,-99999,518,12,618,17,718,24,818,29,918,15,1018,19,1118,19,1218,22,1318,19,1418,17,1518,25,1618,7,1718,23,1899,-99999,1918,10,2018,14,2199,-99999,2299,-99999,2399,-99999,2499,-99999,2599,-99999,2699,-99999,2799,-99999,2899,-99999,2999,-99999,3099,-99999,3199,-99999
196104,1961,4,199,-99999,299,-99999,318,29,418,30,518,37,618,11,799,-99999,818,99999,918,53,1018,11,1118,20,1218,16,1318,19,1418,46,1518,29,1618,25,1718,20,1806,22,1999,-99999,2018,31,2118,46,2218,37,2318,39,2418,26,2599,-99999,2618,31,2718,9,2818,30,2999,-99999,3099,-99999,3199,-99999
